TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AESB3;9,66;1,11;10,06;1,45;0,33;23,57;15,63;18,74;12,06;23,51;11,45;1,38;1,89;1,88;-0,47;2,75;14,43;3,33;-1,42;0,23;0,68;0,18;;;16.336.194,07;6,65;0,96;;4.753.748.741,70
AFLT3;9,05;4,71;4,89;2,18;1,87;84,18;81,89;79,24;4,74;4,52;-0,21;-0,10;3,88;11,59;-2,47;3,00;44,62;38,22;43,94;0,86;0,14;0,48;30,86;52,19;11.692,57;4,15;1,85;0,01;570.916.535,00
ALUP11;28,44;4,32;7,78;1,14;0,31;78,93;74,42;22,57;2,36;4,76;2,40;1,16;1,76;2,68;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;36.042.672,76;24,85;3,65;-0,38;8.333.974.830,12
ALUP3;9,50;4,32;7,80;1,15;0,31;78,93;74,42;22,57;2,37;4,76;2,40;1,16;1,76;2,69;-0,37;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;85.618,45;8,28;1,22;-0,38;8.333.974.830,12
ALUP4;9,57;4,28;7,86;1,16;0,31;78,93;74,42;22,57;2,38;4,76;2,40;1,16;1,77;2,71;-0,38;2,73;14,70;3,94;13,68;0,27;0,60;0,17;27,49;28,06;113.135,02;8,28;1,22;-0,38;8.333.974.830,12
AURE3;14,03;0,71;-299,90;1,10;0,48;26,71;22,59;-1,25;16,64;19,29;2,65;0,18;3,76;2,61;-0,60;10,36;-0,37;-0,16;4,21;0,43;0,57;0,13;;;36.408.122,07;12,73;-0,05;;14.030.000.000,00
CBEE3;15,50;2,31;79,85;0,78;0,22;17,76;9,27;0,53;4,56;9,95;5,40;0,93;0,42;-2,79;-0,28;0,74;0,98;0,27;7,94;0,28;0,72;0,52;13,66;;6.303,83;19,84;0,19;-0,21;3.723.253.775,50
CEBR3;13,02;116,17;4,91;1,01;0,71;54,57;62,41;46,43;3,65;1,46;-1,96;-0,54;2,28;1,58;-1,48;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;30.783,83;12,88;2,65;-0,06;878.117.621,55
CEBR5;11,23;134,68;4,24;0,87;0,61;54,57;62,41;46,43;3,15;1,46;-1,96;-0,54;1,97;1,36;-1,27;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;39.345,10;12,88;2,65;-0,05;878.117.621,55
CEBR6;11,35;146,59;4,28;0,88;0,62;54,57;62,41;46,43;3,19;1,46;-1,96;-0,54;1,99;1,38;-1,29;7,35;20,58;14,44;15,53;0,70;0,09;0,31;-30,49;11,19;227.738,45;12,88;2,65;-0,05;878.117.621,55
